words,tags,length
"4041,1197,2525,6707,4448,20,2507,2764,917,2215,3993,3396,20,6342,1197,4083,7967,6707,20,4820,1197,5772,6707,8193,1197,917,2442,2924,2677,20,1197,4654,3396,5232,6118,6707,20,5677,3798,6906,3863,2924,1451,3796,6777,917,3871,4277,20,1980,1197,2369,4679,794,3993,1999,7800,6118,6707,917,20,1197,5686,7974,8235,5513,20,7431,1886,1197,917,7688,5570,2093,8280,794,917,3520,6250,1197,917,6339,6814,4332,4991,1139,6436,3993,4041,5677,5794,8235,5513,4904,20,6707,6289,7956,6118,20,7415,8095,6118,1959,4059,917,3141,20,5677,2924,7116,7349,3993,6889","1,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",114
"4041,1197,2525,6707,4448,20,2507,0,3796,0,4608,917,2215,3993,3396,6342,1197,4083,7967,6707,20,4820,1197,5772,6707,8193,1197,917,2442,2924,2677,20,1197,4654,3396,5232,6118,6707,20,5677,3798,2369,4679,1197,2093,2352,917,5827,794,3993,6889,6118,6707,6909,20,1197,5686,7974,5513,20,7431,1886,1197,917,7688,6250,6339,6814,4332,4991,5874,6436,3993,4041,5677,5794,1197,8235,917,5267,7762,4904,20,6707,6289,7956,6118,20,5677,5330,2924,7116,7349,3993,6889","1,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",95
"6906,6707,968,7430,20,3870,6567,4059,4363,5528,1602,20,1197,4654,7762,6118,6707,3993,5677,5794,8235,5513,6909,20,6707,5709,3993,7275,6156,1197,7280,6347,3736,7979,686,6418,917,2531,1585,3606,20,3523,2507,6347,7851,917,6366,4719,20,4041,1197,2525,6707,5936,2731,4332,61,4608,6436,5710,1855,2215,3993,6889,2752,5570,3870,1197,6906,1999,7800,7409,6118,6707,20,5677,3798,6125,5794,2848,2789,7968,917,894,6317,7431,3863,890,3871,4277,2369,4679,851,917,5827,794,20,6707,5330,5921,3993,6889,7562,5570,3870,1197,6906,2215,4277,7409,6118,6707,20,5677,6906,5794,2848,2789,2093,7777,894,6317,4277,4248,8119,1197,4679,6707,5709,6909,917,2540,3998,7617,6250,6707,1966,1236,7643,7632,265,1642,3993,6889,8165,5570,1197,7409,6118,6707,6909,20,6212,1886,3835,894,6317,8162,6889,1219,4505,6707,4155,6889,167,4505,8235,5513,4155,6889,1501,4505,1197,917,6627,3993,6889,6276,8010,1197,20,5170,1197,7762,6118,6707,20,3801,677,8095,20,677,8095,3798,6171,7956,6118,3993,6889","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",199
"4041,1197,2525,6707,917,5936,2731,20,2507,0,3796,0,4608,4332,2857,7866,4608,20,7035,7184,5597,5768,6276,5654,20,5557,5656,917,4029,2857,7866,4608,6436,917,2215,3993,3396,20,6342,1197,3723,6707,20,4820,1197,5772,6707,8193,1197,917,2442,2924,2677,20,1197,4654,6906,2215,8161,1959,6118,6707,3993,6889,3870,1197,6906,1999,7800,7762,6118,6707,20,1197,5686,7974,5513,20,7431,1886,1197,917,7688,241,1588,6339,917,6593,6250,6339,6814,4332,4991,0,5092,6436,3993,4041,1197,7762,8235,4904,20,6707,6289,7956,6118,20,7753,6120,2731,5677,2924,7116,7349,20,5677,3798,2369,4679,1197,2093,3851,917,794,3993,6889","1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",127
"4041,1197,2525,6707,917,5936,5782,2731,20,2507,0,3796,0,4608,917,2215,3993,3396,20,6342,1197,4083,7967,6707,20,4820,1197,5772,6707,8193,1197,917,2442,2924,2677,20,1197,4654,3396,5232,6118,6707,20,5677,3798,6906,3863,2924,1451,0,3796,0,6777,917,3871,4277,1980,1197,2369,4679,794,3993,6889,6118,6707,6909,20,1197,7442,7974,8235,5513,20,7431,1886,6707,5570,1197,917,6339,6814,2291,4991,786,6760,6250,1197,4094,794,917,3520,3993,4041,5677,5794,1197,917,8235,5513,4904,20,6707,6289,7956,6118,20,7415,6707,6118,1959,4059,917,3141,20,5677,2924,7116,5260,917,172,3993,6889","1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",122
"7762,6118,6947,20,7805,7413,7974,8235,5513,7431,1980,8124,1886,3835,1542,894,1585,97,3852,8162,6889,2752,5570,7688,4155,6889,7562,5570,7805,917,6339,6814,3993,6889,6947,5648,6050,5794,8235,5513,1552,3386,7278,2837,917,0,7328,0,4904,253,5709,3993,6889,6947,4041,7805,2525,4448,0,3796,0,1196,1002,2215,20,4820,7805,6906,1999,7800,7762,6118,6947,20,8124,3798,1980,7805,2369,4679,8281,2352,917,6947,917,794,20,6947,6118,1959,4059,917,3141,8124,2924,7116,7349,3993,6889,5170,6947,7659,6628,4617,0,4394,6008,2540,0,8275,1489,20,2382,6947,5008,4617,0,4394,6008,917,0,8095,8275,5768,2215,20,7805,7762,6118,6947,4029,5464,2215,4277,7762,6118,6947,3137,3993,6889,4820,7805,6906,2215,4277,7762,6118,6947,20,8124,4041,5794,8235,5513,1552,3386,7278,4448,0,1207,0,5049,8119,7805,4679,6947,6906,8235,7762,3386,7278,2837,917,3998,3863,6567,6702,1562,4332,383,3675,6436,4277,917,1642,3993,6889,7805,2215,4277,6118,6947,4759,7680,4810,6742,3583,3993,6889,4820,6947,2507,677,8095,20,3870,7805,6118,6947,20,2382,6947,7894,1542,677,8095,1839,6118,3993,6889","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",220
"2215,7659,7196,1197,2525,6707,917,5936,5782,2731,917,4984,2707,20,2145,2707,7955,2540,7561,1541,917,3106,7460,3993,3396,20,6342,1197,4083,7967,6707,20,4820,1197,5772,6707,8193,1197,917,2442,2924,2677,20,1197,4654,3396,5232,6118,6707,20,5677,3798,6906,3863,2924,1451,0,3796,0,6777,917,3871,4277,1980,1197,2369,4679,794,3993,6889,6118,6707,6909,20,1197,7442,7974,8235,5513,20,7431,1886,6707,5570,1197,917,6339,6814,4332,4991,204,6436,6250,1197,4094,794,917,3520,3993,4041,5677,5794,1197,917,8235,5513,4904,20,6707,6289,7956,6118,20,7415,6707,6118,1959,4059,917,3141,20,5677,2924,7116,7349,3993,6889","1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",127
"4041,1197,2525,7035,3491,8095,4448,20,2507,0,3796,0,4608,917,2215,3993,3396,20,6342,1197,4083,7967,7035,3491,8095,20,4820,1197,5772,7035,3491,8095,8193,1197,917,2442,2924,2677,20,1197,4654,3396,5232,6118,7035,3491,8095,20,5677,3798,6906,3863,2658,0,3796,0,6777,917,3871,6586,6702,1197,2093,2352,917,794,3993,6889,8235,6909,20,1197,5686,7974,5513,20,7431,1886,1197,917,7688,6250,6339,6814,3993,4041,5677,5794,1197,8235,917,5267,7762,4904,20,7035,3491,8095,6289,7956,6118,20,7415,8095,6118,1959,4059,917,4385,20,5677,2924,7116,7349,3993,6889","1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",116
"7275,2845,1197,3220,686,7035,7688,917,386,20,2880,3036,6867,3745,917,1480,6843,5570,510,303,1585,510,5511,20,4041,1197,2525,7035,7688,4448,20,2507,0,3796,0,5049,917,2215,3993,4820,1197,3396,5232,6118,7035,7688,20,5686,7974,5267,5513,20,7431,1886,1197,917,7688,6250,6339,6814,4332,4991,1062,0,4416,6436,20,5677,7680,6906,3863,2924,1451,2658,0,3796,0,6777,917,1458,3871,4277,2369,4679,1197,4094,917,794,3993,4041,5677,5794,1197,8235,917,5267,7762,4904,20,7035,7688,6289,7956,6118,3993,2413,6106,1959,4059,917,3141,5677,2924,7116,7349,3993,6889","1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",117
"4041,1197,2525,7035,677,8095,917,5936,2731,20,2507,0,3796,0,4608,917,2215,3993,3396,20,1197,4654,7431,6396,6947,5232,6118,7035,677,8095,20,5677,3798,6906,3863,2924,1451,0,3796,0,6777,917,3871,4277,2369,4679,1197,2093,3851,917,794,3993,6889,8235,6909,20,1197,5686,7974,5513,20,7431,1886,1197,917,7688,6250,2041,6339,6627,3993,4041,1197,5267,7762,8235,4448,20,7035,677,8095,6289,7956,6118,20,5677,5330,2924,7116,7349,3993,6889","1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",92
"5928,7805,5794,6707,7431,5267,2525,5669,5464,7035,1573,7409,917,1588,5415,5175,6707,1716,3908,4448,917,4984,2707,1002,2215,20,2145,2707,2924,7514,0,3796,0,4608,20,4175,3106,7955,2540,7561,8247,917,7460,3993,3396,20,5170,7805,5772,6707,8193,7805,917,2442,2924,2677,20,4654,6118,6707,20,7035,1573,3798,2369,4679,794,3993,4332,5675,3914,4332,4991,0,786,6436,1506,765,6639,917,5226,6436,1999,7800,8235,6909,20,7805,5686,7974,5513,20,7431,1886,6707,4530,1573,7409,917,6418,97,3993,7753,1573,5794,7805,7762,8235,917,5267,7762,4448,20,6707,6289,7956,6118,20,7035,1573,7753,6120,2731,5330,2924,7116,7349,3993,6889","0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",129
"7805,7409,6118,6707,917,20,5051,1573,4988,20,7431,5159,7688,1585,7805,6627,4938,3993,6889,6707,4041,7805,2525,4448,0,2143,0,1196,1002,2215,20,4820,7805,6906,1999,7800,7409,6118,6707,917,20,7035,1573,3798,2369,4679,8281,2352,917,794,20,6707,6118,1959,4059,917,3141,7035,1573,2924,7116,5260,917,172,3993,6889,4820,7805,6906,2215,4277,7409,6118,6707,20,7035,1573,6125,5794,8235,5924,4448,0,1207,0,1196,3798,4679,6707,6906,8095,6118,2837,917,3998,3993,4820,6707,6118,6909,3695,8281,4059,1950,1602,241,8281,4059,6707,6639,917,3141,932,5944,5260,917,20,7035,1573,2924,4679,2145,3695,6906,6707,574,917,3998,3993,6889","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",130
"4041,1197,2525,6707,4448,20,2507,0,2143,0,4608,917,2215,3993,3396,20,6342,1197,4083,7967,6707,20,4820,1197,5772,6707,8193,1197,917,2442,2924,2677,20,1197,4654,3396,5232,6118,6707,20,5677,3798,6906,3863,2658,0,3796,0,6777,917,3871,6586,6702,1197,2093,2352,917,794,3993,6889,8235,6909,20,1197,5686,7974,5513,20,7431,1886,1197,917,7688,6250,6339,6814,3993,4041,5677,5794,1197,8235,917,5267,7762,4904,20,6707,6289,7956,6118,20,7415,8095,6118,1959,4059,917,3141,20,5677,2924,7116,7349,3993,6889","1,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",106
"4041,1197,2525,6707,917,5936,5782,2731,20,2507,2143,6547,7866,4608,917,2215,3993,3396,20,6342,1197,4083,7967,6707,20,4820,1197,5772,6707,8193,1197,917,2442,2924,2677,20,1197,4654,3396,5267,5232,6118,6707,20,5677,3798,6906,3863,3796,6777,917,3871,4277,2369,4679,1197,2093,3851,917,794,3993,6889,8235,6909,20,1197,5686,7974,5513,20,7431,1886,1197,917,7688,6250,6339,6814,3993,4041,1197,5267,7762,8235,4448,20,6707,6289,7956,6118,20,5677,7753,6120,2731,5330,2924,7116,7349,3993,6889","1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",101
"1197,5794,6707,7431,5267,2525,5669,5464,7035,1573,7409,917,1588,5415,5175,6707,1716,3908,4448,0,2143,0,4129,1002,2215,20,6906,1999,7800,7409,6118,6707,917,20,6906,5677,5291,6418,4938,1585,97,917,5936,5782,20,6707,6289,7956,6118,20,5677,5330,2924,7116,7349,3993,5677,6906,3863,0,3796,0,6777,3871,4277,20,1980,1197,2369,4679,3241,794,3993,6889","1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",74
"4041,1197,2525,7035,976,8095,4448,20,2507,0,3796,0,4608,917,2215,3993,6342,1197,4083,7967,7035,976,8095,20,4820,1197,5772,7035,976,8095,8193,1197,917,2442,2924,2677,20,1197,4654,3396,5232,6118,7035,976,8095,20,5677,3798,6906,3863,0,3796,0,6777,3871,6586,6702,1197,2093,2352,917,5827,794,3993,6889,6118,7035,976,8095,6909,20,1197,7442,7974,5513,20,7431,1886,7035,976,8095,5570,1197,917,6339,6814,2291,4991,2606,6760,3993,4041,5677,5794,1197,917,8235,5513,4904,20,7035,976,8095,6289,7956,6118,20,7415,7035,976,8095,6118,1959,4059,917,3141,5677,2924,7116,7349,3993,6889,5214,6889","1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",124
"2752,5570,1197,5794,6707,7431,5267,2525,4448,0,3796,0,4129,4332,383,4515,0,3796,0,4608,20,2258,5175,2215,7470,765,866,917,20,5928,7233,866,6436,1002,2215,20,3396,6342,1197,518,7909,6707,917,5832,3606,20,6276,7659,172,1823,7184,5570,8095,6118,7184,3523,6932,309,1709,3606,3993,3870,1197,5772,6707,8193,1197,917,2442,2924,2677,20,1197,4654,3396,5232,6118,6707,20,5677,3798,6906,3863,2924,1451,0,3796,0,6777,917,3871,4277,2369,4679,1197,2093,3851,917,794,3993,6889,7562,5570,1197,6906,1999,7800,5232,8235,7497,7974,8235,5513,20,7431,1886,7688,6250,1197,917,6339,6814,3993,4041,5677,5794,8235,5513,4904,20,6707,6289,7956,6118,20,7415,8095,6118,1959,4059,917,3141,20,5677,2924,7116,7349,3993,6889","0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",149
"4041,1197,2525,6707,917,5936,5782,2731,20,2507,0,2143,0,4608,917,2215,3993,3396,20,6342,1197,4083,7967,6707,20,4820,1197,5772,6707,8193,1197,917,2442,2924,2677,20,1197,4654,3396,5232,6118,6707,20,5677,3798,6906,3863,2924,1451,0,3796,0,6777,917,3871,4277,1980,1197,2369,4679,794,3993,6889,6118,6707,6909,20,1197,7442,7974,8235,5513,20,7431,1886,6707,5570,1197,917,6339,6814,4332,4991,6846,6436,6250,1197,4094,794,917,3520,3993,4041,5677,5794,1197,917,8235,5513,4904,20,6707,6289,7956,6118,3993,6889","1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",107
"4041,1197,2525,7035,677,8095,917,5936,5782,2731,20,2507,0,3796,0,4608,917,2215,3993,3396,20,6342,1197,4083,7967,7035,677,8095,20,4820,1197,5772,7035,677,8095,8193,1197,917,2442,2924,2677,20,1197,4654,3396,5232,6118,7035,677,8095,20,5677,3798,1980,1197,2369,4679,794,3993,6889,6906,1999,7800,6118,7035,677,8095,6909,20,1197,7442,7974,8235,5513,20,7431,1886,7035,677,8095,5570,1197,917,6339,6814,6250,1197,4094,794,917,3520,3993,4041,5677,5794,1197,917,8235,5513,4904,20,7035,677,8095,6289,7956,6118,20,7415,7035,677,8095,6118,1959,4059,917,3141,20,5677,2924,7116,5260,917,172,3993,6889","1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",126
"4041,1197,2525,6707,917,5936,2731,20,2507,2764,917,2215,3993,3396,20,6342,1197,4083,7967,6707,20,4820,1197,5772,6707,8193,1197,917,2442,2924,2677,20,1197,4654,3396,5232,6118,6707,20,5677,3798,6906,3863,3871,4277,2369,4679,1197,2093,3851,917,794,20,932,4820,8281,1716,8294,2382,7442,3863,3711,3993,6889,8235,6909,20,1197,5686,6226,7974,5513,7431,5888,4277,20,4163,7688,6250,3520,3692,8070,241,7895,2511,5677,3993,6707,4041,5677,5794,1197,917,5513,917,1186,5782,2731,4745,6118,3993,5677,7753,6120,2731,5330,2924,7116,7349,3993,6889","1,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",111
